,Building,Flat,Area,Location,Connectivity,Price
171,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
172,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
173,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
174,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
175,Leisure Town,1 BHK1 Bath,42 sq.m. Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
176,Park Titan,2 BHK,67-73 sq.m. Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
177,Pethkar Siyona4.4 ★,3 BHK3 Baths,101-104 sq.m. Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
178,Pethkar Siyona4.4 ★,2 BHK2 Baths,78-81 sq.m. Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
179,Ganraj Skydale,2 BHK,50-62 sq.m. Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
180,Ganraj Skydale,1 BHK1 Bath,38-43 sq.m. Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
181,Vansh Viva,2 BHK,63-65 sq.m. Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
182,Vansh Viva,1 BHK,41-43 sq.m. Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
183,Shubh Nirvana,3 BHK3 Baths,103-115 sq.m. Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
184,Bright Aristo,2 BHK2 Baths,63 sq.m. Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
185,Bright Aristo,1 BHK1 Bath,44 sq.m. Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
186,Panchshil Towers4.4 ★,3 BHK,153-316 sq.m. Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
187,Kumar Palmcrest,2 BHK2 Baths,72 sq.m. Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
188,Samarth Mrudula Residency,1 BHK,34-45 sq.m. Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
189,Unika,3 BHK,99 sq.m. Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
190,Nivasa Enchante,3 BHK3 Baths,79 sq.m. Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
191,Nivasa Enchante,2 BHK,62-71 sq.m. Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
192,Tirupati Nakshatra,2 BHK,61 sq.m. Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
193,Tirupati Nakshatra,1 BHK,41-42 sq.m. Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
194,Runal Spacio,3 BHK2 Baths,74-84 sq.m. Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
195,Runal Spacio,2 BHK2 Baths,62-68 sq.m. Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
196,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,83 sq.m. Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
197,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,57-67 sq.m. Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
198,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,39 sq.m. Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
199,Gulmohar Sky Park,2 BHK,58-59 sq.m. Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
200,Kumar Peninsula,3 BHK3 Baths,92-126 sq.m. Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
201,Kalpataru Exquisite,3 BHK,104 sq.m. Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
202,Goodwill Meadows4.2 ★,2 BHK2 Baths,30 sq.m. Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
203,Orchid Homes,3 BHK,101 sq.m. Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
204,Orchid Homes,2 BHK,72-77 sq.m. Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
205,NG Rathi Vrundavan,2 BHK2 Baths,56 sq.m. Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
206,Manasi Residency,2 BHK1 Bath,53 sq.m. Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
207,Manasi Residency,1 BHK1 Bath,46 sq.m. Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
208,Townscape Sneh Mithila,2 BHK,73 sq.m. Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
209,Mulik Luxuria3.3 ★,2 BHK,73-75 sq.m. Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
210,Greenville,3 BHK3 Baths,92-103 sq.m. Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
211,Unika,2 BHK,73 sq.m. Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
212,Jhala Group Mahalunge Riviera,3 BHK,88-91 sq.m. Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
213,Rohan VITI,3 BHK,98 sq.m. Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
214,Rohan VITI,2 BHK,74 sq.m. Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
215,Pride SOHO,3 BHK,88 sq.m. Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
216,Pride SOHO,2 BHK,72-73 sq.m. Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
217,JD Gaatha,3 BHK,92-98 sq.m. Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
218,JD Gaatha,2 BHK,67-76 sq.m. Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
219,iLife Upper NIBM,3 BHK,95-95 sq.m. Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
220,iLife Upper NIBM,2 BHK,66-81 sq.m. Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
221,Tikona Srushti,,"1,300-2,149 sq.m. Plot Area",Residential land / Plot in Hadashi,5,Price on Request
222,Mulik Luxuria3.3 ★,3 BHK3 Baths,93-97 sq.m. Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
223,Mulik Luxuria3.3 ★,1 BHK,40 sq.m. Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
224,Rohit Aloha,2 BHK,71 sq.m. Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
225,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
226,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
227,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
228,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
229,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
230,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
231,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
232,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
233,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
234,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
235,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
236,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
237,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
238,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
239,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
240,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
241,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
242,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
243,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
244,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
245,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
246,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
247,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
248,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
249,Leisure Town,1 BHK1 Bath,460 sq.ft. (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
250,Leisure Town,1 BHK1 Bath,0.19 grounds (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
251,Park Titan,2 BHK,0.3-0.33 grounds (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
252,Pethkar Siyona4.4 ★,3 BHK3 Baths,0.45-0.47 grounds (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
253,Pethkar Siyona4.4 ★,2 BHK2 Baths,0.35-0.37 grounds (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
254,Ganraj Skydale,2 BHK,0.23-0.28 grounds (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
255,Ganraj Skydale,1 BHK1 Bath,0.17-0.19 grounds (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
256,Vansh Viva,2 BHK,0.29-0.3 grounds (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
257,Vansh Viva,1 BHK,0.19-0.2 grounds (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
258,Shubh Nirvana,3 BHK3 Baths,0.47-0.52 grounds (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
259,Bright Aristo,2 BHK2 Baths,0.28 grounds (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
260,Bright Aristo,1 BHK1 Bath,0.2 grounds (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
261,Panchshil Towers4.4 ★,3 BHK,0.69-1.42 grounds (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
262,Kumar Palmcrest,2 BHK2 Baths,0.32 grounds (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
263,Samarth Mrudula Residency,1 BHK,0.16-0.2 grounds (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
264,Unika,3 BHK,0.44 grounds (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
265,Nivasa Enchante,3 BHK3 Baths,0.36 grounds (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
266,Nivasa Enchante,2 BHK,0.28-0.32 grounds (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
267,Tirupati Nakshatra,2 BHK,0.28 grounds (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
268,Tirupati Nakshatra,1 BHK,0.19-0.19 grounds (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
269,Runal Spacio,3 BHK2 Baths,0.33-0.38 grounds (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
270,Runal Spacio,2 BHK2 Baths,0.28-0.31 grounds (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
271,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,0.37 grounds (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
272,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,0.26-0.3 grounds (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
273,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,0.18 grounds (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
274,Gulmohar Sky Park,2 BHK,0.26-0.27 grounds (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
275,Kumar Peninsula,3 BHK3 Baths,0.41-0.57 grounds (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
276,Kalpataru Exquisite,3 BHK,0.47 grounds (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
277,Goodwill Meadows4.2 ★,2 BHK2 Baths,0.14 grounds (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
278,Orchid Homes,3 BHK,0.45 grounds (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
279,Orchid Homes,2 BHK,0.33-0.35 grounds (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
280,NG Rathi Vrundavan,2 BHK2 Baths,0.25 grounds (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
281,Manasi Residency,2 BHK1 Bath,0.24 grounds (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
282,Manasi Residency,1 BHK1 Bath,0.21 grounds (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
283,Townscape Sneh Mithila,2 BHK,0.33 grounds (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
284,Mulik Luxuria3.3 ★,2 BHK,0.33-0.34 grounds (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
285,Greenville,3 BHK3 Baths,0.41-0.46 grounds (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
286,Unika,2 BHK,0.33 grounds (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
287,Jhala Group Mahalunge Riviera,3 BHK,0.4-0.41 grounds (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
288,Rohan VITI,3 BHK,0.44 grounds (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
289,Rohan VITI,2 BHK,0.33 grounds (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
290,Pride SOHO,3 BHK,0.4 grounds (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
291,Pride SOHO,2 BHK,0.33-0.33 grounds (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
292,JD Gaatha,3 BHK,0.42-0.44 grounds (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
293,JD Gaatha,2 BHK,0.3-0.34 grounds (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
294,iLife Upper NIBM,3 BHK,0.43-0.43 grounds (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
295,iLife Upper NIBM,2 BHK,0.3-0.36 grounds (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
296,Tikona Srushti,,5.83-9.64 grounds (1301-2149 sq.m.) Plot Area,Residential land / Plot in Hadashi,5,Price on Request
297,Mulik Luxuria3.3 ★,3 BHK3 Baths,0.42-0.44 grounds (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
298,Mulik Luxuria3.3 ★,1 BHK,0.18 grounds (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
299,Rohit Aloha,2 BHK,0.32 grounds (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
300,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
301,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
302,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
303,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
304,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
305,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
306,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
307,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
308,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
309,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
310,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
311,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
312,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
313,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
314,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
315,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
316,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
317,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
318,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
319,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
320,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
321,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
322,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
323,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
324,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
325,Leisure Town,1 BHK1 Bath,6.39 aankadam (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
326,Park Titan,2 BHK,10.08-10.96 aankadam (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
327,Pethkar Siyona4.4 ★,3 BHK3 Baths,15.14-15.56 aankadam (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
328,Pethkar Siyona4.4 ★,2 BHK2 Baths,11.67-12.22 aankadam (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
329,Ganraj Skydale,2 BHK,7.51-9.36 aankadam (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
330,Ganraj Skydale,1 BHK1 Bath,5.76-6.47 aankadam (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
331,Vansh Viva,2 BHK,9.54-9.86 aankadam (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
332,Vansh Viva,1 BHK,6.18-6.5 aankadam (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
333,Shubh Nirvana,3 BHK3 Baths,15.51-17.33 aankadam (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
334,Bright Aristo,2 BHK2 Baths,9.44 aankadam (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
335,Bright Aristo,1 BHK1 Bath,6.72 aankadam (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
336,Panchshil Towers4.4 ★,3 BHK,22.89-47.29 aankadam (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
337,Kumar Palmcrest,2 BHK2 Baths,10.82 aankadam (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
338,Samarth Mrudula Residency,1 BHK,5.19-6.81 aankadam (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
339,Unika,3 BHK,14.82 aankadam (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
340,Nivasa Enchante,3 BHK3 Baths,11.86 aankadam (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
341,Nivasa Enchante,2 BHK,9.33-10.71 aankadam (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
342,Tirupati Nakshatra,2 BHK,9.24 aankadam (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
343,Tirupati Nakshatra,1 BHK,6.28-6.33 aankadam (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
344,Runal Spacio,3 BHK2 Baths,11.12-12.57 aankadam (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
345,Runal Spacio,2 BHK2 Baths,9.33-10.26 aankadam (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
346,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,12.42 aankadam (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
347,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,8.6-10.08 aankadam (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
348,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,5.97 aankadam (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
